Parchemin de Sculpteur de baguettes;Parchemin d'expérience;1;01;18;2021;19;37;47;;1500 kamas/u.;799;12 108;187 999
Parchemin de Sculptemage de Batons;Parchemin d'expérience;1;01;18;2021;19;37;51;;7827 kamas/u.;6 998;;
Parchemin de Bucheron;Parchemin d'expérience;1;01;18;2021;19;37;55;;3776 kamas/u.;3 397;36 499;355 555
Parchemin de Tailleur;Parchemin d'expérience;1;01;18;2021;19;37;59;;18835 kamas/u.;22 222;188 997;1 889 989
Parchemin de Forgeur d'épée;Parchemin d'expérience;1;01;18;2021;19;38;02;;2315 kamas/u.;1999;23 999;230 000
Parchemin de Cordomage;Parchemin d'expérience;1;01;18;2021;19;38;06;;7768 kamas/u.;69 995;100 000;
Parchemin de Forgemage de Haches;Parchemin d'expérience;1;01;18;2021;19;38;10;;3766 kamas/u.;MA;40 000;
Parchemin de Joaillomage;Parchemin d'expérience;1;01;18;2021;19;38;13;;12593 kamas/u.;14 995;140 000;1 200 000
Parchemin de Sculptemage de Baguettes;Parchemin d'expérience;1;01;18;2021;19;38;18;;7087 kamas/u.;10 896;;
Parchemin de Forgeur de dagues;Parchemin d'expérience;1;01;18;2021;19;38;21;;8200 kamas/u.;8 000;80 000;850 000
Parchemin de Forgeur de Boucliers;Parchemin d'expérience;1;01;18;2021;19;38;24;;7513 kamas/u.;5 999;88 900;
Parchemin Blanc;Parchemin d'expérience;1;01;18;2021;19;38;29;;401 kamas/u.;180;4999;
Parchemin de Boucher;Parchemin d'expérience;1;01;18;2021;19;38;32;;4681 kamas/u.;14 500;45 000;450 000
Parchemin de Boulanger;Parchemin d'expérience;1;01;18;2021;19;38;35;;2323 kamas/u.;598;8 499;232 000
Parchemin de Forgemage de Dagues;Parchemin d'expérience;1;01;18;2021;19;38;40;;7504 kamas/u.;8 999;;
Parchemin d'Alchimiste;Parchemin d'expérience;1;01;18;2021;19;38;43;;1653 kamas/u.;1 700;14 999;
Parchemin de Sculpteur d'arcs;Parchemin d'expérience;1;01;18;2021;19;38;47;;18770 kamas/u.;18 000;159 000;2 499 999
Parchemin de Forgeur de Pelles;Parchemin d'expérience;1;01;18;2021;19;38;51;;2227 kamas/u.;1999;24 699;250 000
Parchemin de Pécheur;Parchemin d'expérience;1;01;18;2021;19;38;54;;72363 kamas/Uu.;68 000;865 999;9999 999
Parchemin de Mineur;Parchemin d'expérience;1;01;18;2021;19;38;58;;4450 kamas/u.;5 800;51 984;444 442
Parchemin de Cordonnier;Parchemin d'expérience;1;01;18;2021;19;39;01;;19918 kamas/u.;19 900;220 000;2119 999
Parchemin de Sculptemage d'Arcs;Parchemin d'expérience;1;01;18;2021;19;39;05;;1759 kamas/u.;743;11 497;185 000
Parchemin de Sculptemage d'Arcs;Parchemin d'expérience;1;01;18;2021;19;39;08;;1759 kamas/u.;743;11 497;185 000
Parchemin de Paysan;Parchemin d'expérience;1;01;18;2021;19;39;12;;2397 kamas/u.;1796;;299 999
Parchemin d'Ivoire;Parchemin d'expérience;25;01;18;2021;19;39;16;;1566 kamas/u.;;ne eds};
Parchemin Doré;Parchemin d'expérience;50;01;18;2021;19;39;19;;19726 kamas/u.;19 000;199 898;1999 997
Grand Parchemin de Sagesse;Parchemin de caractéristique;1;01;18;2021;19;39;28;;292890 kamas/u.;289 998;;
Petit Parchemin de Force;Parchemin de caractéristique;1;01;18;2021;19;39;32;;8294 kamas/u.;MA;89 999;800 000
Petit Parchemin de Sagesse;Parchemin de caractéristique;1;01;18;2021;19;39;35;;29185 kamas/u.;30 998;289 999;
Parchemin d'Intelligence;Parchemin de caractéristique;1;01;18;2021;19;39;40;;264806 kamas/u.;259 800;3 300 000;
Grand Parchemin d'Agilité;Parchemin de caractéristique;1;01;18;2021;19;39;43;;247262 kamas/u.;248 998;2 499 994;
Petit Parchemin d'Agilité;Parchemin de caractéristique;1;01;18;2021;19;39;46;;10730 kamas/u.;12 000;96 997;
Parchemin de Chance;Parchemin de caractéristique;1;01;18;2021;19;39;51;;80818 kamas/u.;84 899;815 000;
Grand Parchemin de Force;Parchemin de caractéristique;1;01;18;2021;19;39;54;;185647 kamas/u.;289 999;2 899 999;
Petit Parchemin de Chance;Parchemin de caractéristique;1;01;18;2021;19;39;57;;9579 kamas/u.;9 898;97 996;850 000
Puissant Parchemin d'Intelligence;Parchemin de caractéristique;1;01;18;2021;19;40;02;;505909 kamas/u.;572 000;5 376 000;
Parchemin de Vitalité;Parchemin de caractéristique;1;01;18;2021;19;40;05;;155275 kamas/u.;188 886;1 449 000;
Petit Parchemin d'Intelligence;Parchemin de caractéristique;1;01;18;2021;19;40;08;;4207 kamas/u.;3 249;39 997;399 997
Puissant Parchemin de Sagesse;Parchemin de caractéristique;1;01;18;2021;19;40;13;;955330 kamas/u.;959 959;9 788 969;
Parchemin de Sorts;Parchemin de caractéristique;1;01;18;2021;19;40;16;;633346 kamas/u.;586 999;5 899 998;
Parchemin de Sagesse;Parchemin de caractéristique;1;01;18;2021;19;40;20;;298396 kamas/u.;235 999;3 185 000;
Parchemin de Sorts;Parchemin de caractéristique;1;01;18;2021;19;40;24;;633346 kamas/u.;586 999;5 899 998;
Parchemin de Sagesse;Parchemin de caractéristique;1;01;18;2021;19;40;27;;298396 kamas/u.;235 999;3 185 000;
Grand Parchemin d'Intelligence;Parchemin de caractéristique;1;01;18;2021;19;40;31;;269970 kamas/u.;231 111;2 949 888;
Puissant Parchemin d'Agilité;Parchemin de caractéristique;1;01;18;2021;19;40;35;;736017 kamas/u.;739 999;7 888 485;
Puissant Parchemin de Chance;Parchemin de caractéristique;1;01;18;2021;19;40;38;;397367 kamas/u.;379 999;4 136 122;
Parchemin d'Agilité;Parchemin de caractéristique;1;01;18;2021;19;40;42;;156407 kamas/u.;167 999;1 485 000;
Puissant Parchemin de Force;Parchemin de caractéristique;1;01;18;2021;19;40;45;;155425 kamas/u.;139 999;1 553 000;
Puissant Parchemin de Vitalité;Parchemin de caractéristique;1;01;18;2021;19;40;49;;248325 kamas/u.;249 000;2 497 887;
Puissant Parchemin de Vitalité;Parchemin de caractéristique;1;01;18;2021;19;40;52;;248325 kamas/u.;249 000;2 497 887;
Parchemin de Force;Parchemin de caractéristique;1;01;18;2021;19;40;56;;174455 kamas/u.;140 000;1 859 400;
Grand Parchemin de Vitalité;Parchemin de caractéristique;1;01;18;2021;19;40;59;;39832 kamas/u.;eee} }};349 998;
Petit Parchemin de Vitalité;Parchemin de caractéristique;1;01;18;2021;19;41;03;;35650 kamas/u.;35 600;358 497;
Parchemin de Sort Invocation de Chaferfu;Parchemin de sort;1;01;18;2021;19;41;11;;215469 kamas/u.;189 999;;
Parchemin de Sort Libération;Parchemin de sort;1;01;18;2021;19;41;15;;15957 kamas/u.;15 870;170 000;
Pawchemin de la Cawotte;Parchemin de sort;1;01;18;2021;19;41;19;;852817 kamas/u.;984 996;;
Parchemin de Sort Foudroiement;Parchemin de sort;1;01;18;2021;19;41;23;;656 kamas/u.;645;8 000;
Parchemin de Sort Flamiche;Parchemin de sort;1;01;18;2021;19;41;27;;11348 kamas/u.;11 900;110 000;
Parchemin de Sort Invocation d'Arakne;Parchemin de sort;1;01;18;2021;19;41;30;;937854 kamas/u.;1999 999;;
;Parchemin de sort;1;01;18;2021;19;41;34;;937854 kamas/u.;1999 999;;
;Parchemin de sort;1;01;18;2021;19;41;38;;937854 kamas/u.;1999 999;;
;Parchemin de sort;1;01;18;2021;19;41;43;;937854 kamas/u.;1999 999;;
;Parchemin de sort;1;01;18;2021;19;41;47;;937854 kamas/u.;1999 999;;
;Parchemin de sort;1;01;18;2021;19;41;52;;937854 kamas/u.;1999 999;;
;Parchemin de sort;1;01;18;2021;19;41;55;;937854 kamas/u.;1999 999;;
